Symbol,Company Name,Industry,Market Cap
BNL,Broadstone Net Lease,REIT - Diversified,3314496925
BNMV,BitNile Metaverse,Oil & Gas Integrated,7100564
BNNR,Banner Acquisition,Shell Companies,200960000
BNOX,Bionomics,Biotechnology,20576102
BNR,Burning Rock Biotech,Diagnostics & Research,290743750
BNRE,Brookfield Reinsurance,Insurance - Reinsurance,1469420870
BNRG,Brenmiller Energy,Utilities - Renewable,17553096
BNS,The Bank of Nova Scotia,Banks - Diversified,59838269600
BNSO,Bonso Electronics International,Scientific & Technical Instruments,14717286
BNTC,Benitec Biopharma,Biotechnology,5775320
BNTX,BioNTech SE,Biotechnology,31215952820
BOAC,Bluescape Opportunities Acquisition,Shell Companies,225417242
BOC,Boston Omaha,Advertising Agencies,715346103
BOCN,Blue Ocean Acquisition,Shell Companies,247387084
BODY,The Beachbody Company,Internet Content & Information,145935730
BOH,Bank of Hawaii,Banks - Regional,2030885162
BOKF,BOK Financial,Banks - Regional,5581539264
BOLT,Bolt Biotherapeutics,Biotechnology,53855087
BON,Bon Natural Life,Packaged Foods,16156417
BOOM,DMC Global,Oil & Gas Equipment & Services,448557200
BOOT,Boot Barn Holdings,Apparel Retail,2285923717
BORR,Borr Drilling,Oil & Gas Drilling,2123584647
